id,Category,len,attr_1,attr_2,attr_3,attr_4,attr_5,attr_6,attr_7,attr_8,attr_9,attr_10
0,Men Tshirts,5,multicolor,round,printed,typography,long sleeves,no,no,no,no,no
1,Men Tshirts,5,white,round,printed,typography,long sleeves,no,no,no,no,no
2,Men Tshirts,5,white,round,printed,default,long sleeves,no,no,no,no,no
3,Men Tshirts,5,default,polo,solid,solid,short sleeves,no,no,no,no,no
4,Men Tshirts,5,black,round,printed,solid,long sleeves,no,no,no,no,no
5,Men Tshirts,5,multicolor,polo,printed,default,short sleeves,no,no,no,no,no
6,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,no,no,no,no,no
7,Men Tshirts,5,black,round,printed,default,long sleeves,no,no,no,no,no
8,Men Tshirts,5,white,round,printed,default,short sleeves,no,no,no,no,no
9,Men Tshirts,5,white,round,solid,typography,short sleeves,no,no,no,no,no
10,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,no,no,no,no,no
11,Men Tshirts,5,default,polo,solid,solid,short sleeves,no,no,no,no,no
12,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,no,no,no,no,no
13,Men Tshirts,5,default,polo,solid,solid,short sleeves,no,no,no,no,no
14,Men Tshirts,5,default,round,printed,typography,short sleeves,no,no,no,no,no
15,Men Tshirts,5,default,round,solid,solid,short sleeves,no,no,no,no,no
16,Men Tshirts,5,black,round,solid,solid,long sleeves,no,no,no,no,no
17,Men Tshirts,5,white,round,printed,typography,short sleeves,no,no,no,no,no
18,Men Tshirts,5,white,round,printed,default,short sleeves,no,no,no,no,no
19,Men Tshirts,5,white,round,printed,default,short sleeves,no,no,no,no,no
20,Men Tshirts,5,default,polo,solid,solid,short sleeves,no,no,no,no,no
21,Men Tshirts,5,default,polo,solid,solid,short sleeves,no,no,no,no,no
22,Men Tshirts,5,multicolor,round,solid,typography,short sleeves,no,no,no,no,no
23,Men Tshirts,5,default,round,printed,typography,short sleeves,no,no,no,no,no
24,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,no,no,no,no,no
25,Men Tshirts,5,default,polo,printed,default,short sleeves,no,no,no,no,no
26,Men Tshirts,5,black,polo,solid,solid,short sleeves,no,no,no,no,no
27,Men Tshirts,5,default,polo,solid,solid,short sleeves,no,no,no,no,no
28,Men Tshirts,5,black,round,printed,default,short sleeves,no,no,no,no,no
29,Men Tshirts,5,white,round,printed,typography,short sleeves,no,no,no,no,no
30,Men Tshirts,5,default,polo,solid,solid,short sleeves,no,no,no,no,no
31,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,no,no,no,no,no
32,Men Tshirts,5,white,round,printed,typography,short sleeves,no,no,no,no,no
33,Men Tshirts,5,black,round,printed,typography,short sleeves,no,no,no,no,no
34,Men Tshirts,5,default,polo,solid,solid,short sleeves,no,no,no,no,no
35,Men Tshirts,5,default,polo,printed,default,short sleeves,no,no,no,no,no
36,Men Tshirts,5,black,round,printed,typography,long sleeves,no,no,no,no,no
37,Men Tshirts,5,white,round,printed,typography,short sleeves,no,no,no,no,no
38,Men Tshirts,5,multicolor,polo,solid,solid,short sleeves,no,no,no,no,no
39,Men Tshirts,5,multicolor,round,printed,default,short sleeves,no,no,no,no,no
